id,name,title_id,prize_size,assort,title,series_id,release_month,Arrival_date,get_date,got_status,is_favorite,image_url,image_url1,image_url2,image_url3,image_url4,memo,created_at,updated_at
,????? Grandista-???-,11,?25cm(???28cm),?1?,?????,4,2026-09,,0,,1,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492795/kingdom_Grandista_YOTANWA_frbulh.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492796/kingdom_Grandista_YOTANWA2_sts94e.jpg,,,,"Grandista???????????!
10???????????????!",,
,????? Grandista-??-,11,26cm,?1?,?????,4,2026-09,,0,,1,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492795/kingdom_Grandista_RIBOKU_l4bbyx.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492794/kingdom_Grandista_RIBOKU2_xyn3sj.jpg,,,,"Grandista??????????!
10???????????????!",,
,????? Grandista-??-,11,?34cm,?1?,?????,4,2026-10,,0,,1,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492795/kingdom_Grandista_HOUKEN_vj63nk.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492795/kingdom_Grandista_HOUKEN2_phmtkg.jpg,,,,"Grandista??????????!
9??????Grandista ?????????!",,
,????? DXF~THE GRANDLINE SERIES~EXTRA MONKEY.D.LUFFY GEAR5 SPECIAL ver.,2,?15cm,?1?,?????,5,2026-07,2026-07-18,0,,1,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783494867/one_piece_DXF_THE_GRANDLINE_SERIES_EXTRA_MONKEY_D_LUFFY_GEAR5_SPECIAL_ver_k5yli8.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783494867/one_piece_DXF_THE_GRANDLINE_SERIES_EXTRA_MONKEY_D_LUFFY_GEAR5_SPECIAL_ver2_hq0zvt.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783494866/one_piece_DXF_THE_GRANDLINE_SERIES_EXTRA_MONKEY_D_LUFFY_GEAR5_SPECIAL_ver3_txhmdb.jpg,,,"?GRANDLINE SERIES?????????D???????????????????????!

??????????????
?2023?10?????????? DXF~THE GRANDLINE SERIES~EXTRA MONKEY.D.LUFFY GEAR5???????????
???????????????????????????????????",,
,????? GLITTER&GLAMOURS-NAMI SUMMER STYLE-,2,?11cm,?1?,?????,6,2026-07,2026-07-22,0,,1,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783502059/one_piece_GLITTER_GLAMOURS_NAMI_SUMMER_STYLE_yv65rz.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783502060/one_piece_GLITTER_GLAMOURS_NAMI_SUMMER_STYLE2_bmo1xz.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783502060/one_piece_GLITTER_GLAMOURS_NAMI_SUMMER_STYLE3_txjvtg.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783502061/one_piece_GLITTER_GLAMOURS_NAMI_SUMMER_STYLE4_naney5.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783502064/one_piece_GLITTER_GLAMOURS_NAMI_SUMMER_STYLE6_tchmcv.jpg,"????”???”
????????????????????????????????????????? ?GLITTER&GLAMOURS??????????????????!",,
,????? GLITTER&GLAMOURS-NICO ROBIN SUMMER STYLE-,2,?11cm(???14cm),?1?,?????,6,2026-07,2026-07-22,0,,1,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783502064/one_piece_GLITTER_GLAMOURS_NICO_ROBIN_SUMMER_STYLE_uzvibi.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783502066/one_piece_GLITTER_GLAMOURS_NICO_ROBIN_SUMMER_STYLE2_h7afak.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783502066/one_piece_GLITTER_GLAMOURS_NICO_ROBIN_SUMMER_STYLE3_rkihgv.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783502066/one_piece_GLITTER_GLAMOURS_NICO_ROBIN_SUMMER_STYLE4_xhjg8q.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783502059/one_piece_GLITTER_GLAMOURS_NICO_ROBIN_SUMMER_STYLE5_gygdpq.jpg,"????”???”
????????????????????????????????????????? ?GLITTER&GLAMOURS??????????????????????!",,
,HUNTER×HUNTER VIBRATION STARS-????-,53,?21cm,?1?,????????,12,2026-07,2026-07-16,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503243/HUNTERxHUNTER_VIBRATION_STARS_KNUCKLE_xhwg0e.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503244/HUNTERxHUNTER_VIBRATION_STARS_KNUCKLE2_rfwox5.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503245/HUNTERxHUNTER_VIBRATION_STARS_KNUCKLE3_wbkajk.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503246/HUNTERxHUNTER_VIBRATION_STARS_KNUCKLE4_uhyth2.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503247/HUNTERxHUNTER_VIBRATION_STARS_KNUCKLE5_lfhkzt.jpg,"??????????????????????????????????VIBRATION STARS????????????????!
?????????????????(????)?????????????????????!",,
,????? VIBRATION STARS-??-,11,?18cm,?1?,?????,12,2026-07,2026-07-28,0,,1,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503249/KINGDOM_VIBRATION_STARS_MOUTEN_ckxkku.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503250/KINGDOM_VIBRATION_STARS_MOUTEN2_s1smjg.jpg,,,,"?VIBRATION STARS???????????????????!
????????????????????????????????!",,
,????? VIBRATION STARS-??-,11,?16cm,?1?,?????,12,2026-07,2026-07-28,0,,1,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503251/KINGDOM_VIBRATION_STARS_OUHON_m3ntxb.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503252/KINGDOM_VIBRATION_STARS_OUHON2_zmifxm.jpg,,,,"?VIBRATION STARS???????????????????!
????????????????????????????????!",,
,MAO VIBRATION STARS-??-,11,?12cm,?1?,?????,12,2026-07,2026-07-27,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503240/MAO_VIBRATION_STARS_MAO_k62uzf.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503239/MAO_VIBRATION_STARS_MAO2_shuikc.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503241/MAO_VIBRATION_STARS_MAO3_hvrshr.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783503242/MAO_VIBRATION_STARS_MAO4_ejvjfc.jpg,,"????????TV???MAO??????????VIBRATION STARS?????????????!
???????????????VIBRATION STARS??????????????
????????????????(Vibration)????????????????????!",,
